OrderID,LineNumber,OrderDate,PromisedDate,ShipDate,CustomerID,SKU,WarehouseID,QtyOrdered,QtyShipped,UnitPrice,DiscountPct
700001,1,01/01/2026,05/01/2026,05/01/2026,CUST-110,SKU-1005,WH-04,50,20,77.98,0
700001,2,01/01/2026,05/01/2026,05/01/2026,CUST-110,SKU-1018,WH-04,200,200,66.93,0.05
700001,3,01/01/2026,05/01/2026,05/01/2026,CUST-110,SKU-1022,WH-04,25,25,11.23,0
700001,4,01/01/2026,05/01/2026,05/01/2026,CUST-110,SKU-1023,WH-04,10,10,19.51,0.1
700002,1,01/01/2026,04/01/2026,03/01/2026,CUST-143,SKU-1004,WH-04,10,10,44.52,0.05
700002,2,01/01/2026,04/01/2026,03/01/2026,CUST-143,SKU-1001,WH-04,200,180,59.63,0.05
700002,3,01/01/2026,04/01/2026,03/01/2026,CUST-143,SKU-1023,WH-04,10,10,19.51,0
700003,1,01/01/2026,06/01/2026,05/01/2026,CUST-138,SKU-1002,WH-01,75,45,54.08,0.1
700003,2,01/01/2026,06/01/2026,05/01/2026,CUST-138,SKU-1018,WH-01,50,50,66.93,0
700004,1,01/01/2026,05/01/2026,05/01/2026,CUST-113,SKU-1024,WH-01,10,10,68.06,0.125
700004,2,01/01/2026,05/01/2026,05/01/2026,CUST-113,SKU-1012,WH-01,20,20,54.11,0
700005,1,01/01/2026,08/01/2026,09/01/2026,CUST-101,SKU-1014,WH-01,100,100,100.88,0.1
700005,2,01/01/2026,08/01/2026,09/01/2026,CUST-101,SKU-1023,WH-01,25,10,19.51,0.05
700005,3,01/01/2026,08/01/2026,09/01/2026,CUST-101,SKU-1011,WH-01,25,25,39.0,0.05
700005,4,01/01/2026,08/01/2026,09/01/2026,CUST-101,SKU-1018,WH-01,75,75,66.93,0.05
700006,1,01/01/2026,04/01/2026,06/01/2026,CUST-160,SKU-1007,WH-02,50,30,66.6,0.125
700006,2,01/01/2026,04/01/2026,06/01/2026,CUST-160,SKU-1017,WH-02,150,150,44.62,0
700007,1,01/01/2026,06/01/2026,08/01/2026,CUST-130,SKU-1018,WH-01,75,75,66.93,0.1
700007,2,01/01/2026,06/01/2026,08/01/2026,CUST-130,SKU-1003,WH-01,50,50,52.5,0
700008,1,01/01/2026,04/01/2026,03/01/2026,CUST-137,SKU-1014,WH-02,20,20,100.88,0
700008,2,01/01/2026,04/01/2026,03/01/2026,CUST-137,SKU-1007,WH-02,150,150,66.6,0
700009,1,02/01/2026,07/01/2026,08/01/2026,CUST-143,SKU-1010,WH-04,100,100,75.49,0.1
700009,2,02/01/2026,07/01/2026,08/01/2026,CUST-143,SKU-1009,WH-04,200,200,32.15,0
700009,3,02/01/2026,07/01/2026,08/01/2026,CUST-143,SKU-1021,WH-04,75,75,50.68,0.1
700010,1,02/01/2026,06/01/2026,05/01/2026,CUST-125,SKU-1016,WH-01,50,50,19.18,0
700011,1,02/01/2026,05/01/2026,04/01/2026,CUST-117,SKU-1024,WH-03,150,90,68.06,0
700011,2,02/01/2026,05/01/2026,04/01/2026,CUST-117,SKU-1010,WH-03,150,150,75.49,0.125
700012,1,02/01/2026,06/01/2026,05/01/2026,CUST-116,SKU-1003,WH-03,50,50,52.5,0
700012,2,02/01/2026,06/01/2026,05/01/2026,CUST-116,SKU-1014,WH-03,10,4,100.88,0.05
